Prompt,Blight_Risk
"La variedad es CIP Matilde, sembrada durante la temporada coastal. Los datos climáticos muestran 0.9 mm de precipitación, una temperatura máxima de 20.0°C y una temperatura mínima de 4.8°C. La humedad promedio es del 73.32%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es CIP Matilde, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 19.9°C y una temperatura mínima de 4.0°C. La humedad promedio es del 66.26%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada other. Los datos climáticos muestran 3.5 mm de precipitación, una temperatura máxima de 16.0°C y una temperatura mínima de 7.1°C. La humedad promedio es del 77.03%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-321 Kawsay, sembrada durante la temporada hatun. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 21.4°C y una temperatura mínima de 5.6°C. La humedad promedio es del 70.87%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es Yungay, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 19.8°C y una temperatura mínima de 0.2°C. La humedad promedio es del 68.53%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-302 Amarilis, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 17.1°C y una temperatura mínima de 5.4°C. La humedad promedio es del 66.26%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es CIP Matilde, sembrada durante la temporada other. Los datos climáticos muestran 1.4 mm de precipitación, una temperatura máxima de 13.8°C y una temperatura mínima de 2.0°C. La humedad promedio es del 84.46%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 22.2°C y una temperatura mínima de 4.4°C. La humedad promedio es del 73.97%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es Poccoya, sembrada durante la temporada other. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 19.0°C y una temperatura mínima de 8.2°C. La humedad promedio es del 79.52%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es CIP Matilde, sembrada durante la temporada hatun. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 22.0°C y una temperatura mínima de 5.2°C. La humedad promedio es del 70.87%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada other. Los datos climáticos muestran 0.8 mm de precipitación, una temperatura máxima de 14.8°C y una temperatura mínima de 5.0°C. La humedad promedio es del 84.46%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada other. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 18.0°C y una temperatura mínima de 5.8°C. La humedad promedio es del 78.55%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es Poccoya, sembrada durante la temporada hatun. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 21.2°C y una temperatura mínima de 6.5°C. La humedad promedio es del 77.07%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es Poccoya, sembrada durante la temporada hatun. Los datos climáticos muestran 1.4 mm de precipitación, una temperatura máxima de 17.0°C y una temperatura mínima de 6.3°C. La humedad promedio es del 70.87%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es CIP Matilde, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 18.8°C y una temperatura mínima de 5.2°C. La humedad promedio es del 66.26%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 15.4°C y una temperatura mínima de 4.0°C. La humedad promedio es del 66.26%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-321 Kawsay, sembrada durante la temporada other. Los datos climáticos muestran 12.1 mm de precipitación, una temperatura máxima de 19.0°C y una temperatura mínima de 7.0°C. La humedad promedio es del 77.03%. ¿Cuál es el riesgo de tizón tardío?",Medium
"La variedad es Yungay, sembrada durante la temporada other. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 18.7°C y una temperatura mínima de 7.0°C. La humedad promedio es del 77.03%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 23.0°C y una temperatura mínima de 3.8°C. La humedad promedio es del 65.13%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es CIP Matilde, sembrada durante la temporada maway. Los datos climáticos muestran 1.0 mm de precipitación, una temperatura máxima de 20.0°C y una temperatura mínima de 6.0°C. La humedad promedio es del 73.97%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada other. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 17.8°C y una temperatura mínima de 8.2°C. La humedad promedio es del 84.46%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es CIP Matilde, sembrada durante la temporada other. Los datos climáticos muestran 4.3 mm de precipitación, una temperatura máxima de 19.5°C y una temperatura mínima de 7.2°C. La humedad promedio es del 79.52%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es Yungay, sembrada durante la temporada maway. Los datos climáticos muestran 2.8 mm de precipitación, una temperatura máxima de 13.5°C y una temperatura mínima de 5.6°C. La humedad promedio es del 73.97%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada other. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 20.0°C y una temperatura mínima de 7.7°C. La humedad promedio es del 79.52%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada hatun. Los datos climáticos muestran 9.6 mm de precipitación, una temperatura máxima de 16.8°C y una temperatura mínima de 7.8°C. La humedad promedio es del 81.06%. ¿Cuál es el riesgo de tizón tardío?",Medium
"La variedad es CIP Matilde, sembrada durante la temporada hatun. Los datos climáticos muestran 4.6 mm de precipitación, una temperatura máxima de 23.0°C y una temperatura mínima de 5.2°C. La humedad promedio es del 70.87%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es CIP Matilde, sembrada durante la temporada hatun. Los datos climáticos muestran 5.5 mm de precipitación, una temperatura máxima de 20.6°C y una temperatura mínima de 7.2°C. La humedad promedio es del 77.07%. ¿Cuál es el riesgo de tizón tardío?",Medium
"La variedad es INIA-303 Canchan, sembrada durante la temporada hatun. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 18.2°C y una temperatura mínima de 8.3°C. La humedad promedio es del 81.06%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es CIP Matilde, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 21.0°C y una temperatura mínima de 2.4°C. La humedad promedio es del 66.26%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es Yungay, sembrada durante la temporada hatun. Los datos climáticos muestran 2.6 mm de precipitación, una temperatura máxima de 20.5°C y una temperatura mínima de 6.8°C. La humedad promedio es del 70.87%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-302 Amarilis, sembrada durante la temporada other. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 20.0°C y una temperatura mínima de 7.0°C. La humedad promedio es del 77.03%. ¿Cuál es el riesgo de tizón tardío?",Low
