Date,Max_Temp,Min_Temp,Rainfall,Variety,Blight_Risk,Resistance_Level,Marketable_Yield_t_ha,Fungicide_Apps,Environmental_Impact,Variety_Notes,Month,Average_Humidity_2019 (%),High_Humidity_Season,Humidity_Above_80%,Planting_Season,Planting_Months
2009-01-15,20.5,8.8,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-16,19.2,8.0,20.2,INIA-321 Kawsay,Medium,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-17,18.5,6.8,6.3,Poccoya,Medium,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-18,11.8,7.0,5.4,Yungay,Medium,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-19,14.2,7.7,1.2,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",January,78.55,True,False,other,['Not Planting Season']
2009-01-20,19.2,7.1,14.6,Yungay,Medium,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-21,18.7,6.4,0.0,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-22,20.0,6.3,0.5,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-23,18.3,8.2,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",January,78.55,True,False,other,['Not Planting Season']
2009-01-24,18.0,8.1,4.8,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-25,19.5,8.0,2.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-26,16.2,7.0,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-27,18.4,6.6,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-28,16.1,7.4,2.1,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-29,17.0,8.4,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-30,18.8,7.7,21.2,Poccoya,Medium,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-31,16.9,6.2,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",January,78.55,True,False,other,['Not Planting Season']
2009-02-01,19.2,8.0,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-02,18.2,8.3,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-03,17.8,8.2,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-04,18.1,7.0,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-05,19.5,7.2,6.1,INIA-321 Kawsay,Medium,High,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-06,20.6,8.2,3.4,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",February,84.46,True,True,other,['Not Planting Season']
2009-02-07,19.0,7.2,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-08,16.1,8.6,0.7,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-09,18.2,8.5,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",February,84.46,True,True,other,['Not Planting Season']
2009-02-10,18.8,7.8,3.4,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-11,18.6,8.5,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-12,15.4,8.5,25.2,INIA-321 Kawsay,Medium,High,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-13,16.8,7.2,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-14,17.8,5.9,24.6,CIP Matilde,Medium,High,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-15,18.2,6.4,0.0,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-16,19.0,6.6,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-17,21.4,6.8,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-18,19.2,6.4,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-19,18.9,7.8,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-20,17.8,8.3,40.0,INIA-302 Amarilis,Medium,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",February,84.46,True,True,other,['Not Planting Season']
2009-02-21,16.4,6.5,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-22,17.8,7.0,3.2,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-23,17.5,7.0,17.9,INIA-303 Canchan,Medium,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-24,14.8,5.9,14.7,INIA-302 Amarilis,Medium,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",February,84.46,True,True,other,['Not Planting Season']
2009-02-25,17.2,7.2,24.3,INIA-321 Kawsay,Medium,High,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-26,14.8,5.0,0.8,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-27,18.3,7.2,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-02-28,17.0,5.6,0.0,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",February,84.46,True,True,other,['Not Planting Season']
2009-03-01,16.2,7.5,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-02,18.2,7.7,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",March,79.52,True,False,other,['Not Planting Season']
2009-03-03,16.6,8.0,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-04,17.5,6.8,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-05,18.9,7.2,13.3,INIA-302 Amarilis,Medium,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",March,79.52,True,False,other,['Not Planting Season']
2009-03-06,16.5,6.2,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-07,19.3,6.5,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-08,18.2,5.3,2.7,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-09,17.7,6.3,4.3,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-10,18.8,7.2,4.7,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-11,17.8,7.2,0.8,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-12,20.0,7.7,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-13,14.7,7.5,0.0,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-14,15.9,7.3,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-15,17.8,7.0,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-16,17.7,6.6,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-17,21.3,6.3,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-18,18.3,6.4,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",March,79.52,True,False,other,['Not Planting Season']
2009-03-19,16.8,7.7,0.0,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-20,17.7,8.6,1.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",March,79.52,True,False,other,['Not Planting Season']
2009-03-21,17.4,6.5,0.0,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-22,18.2,7.6,25.9,INIA-321 Kawsay,Medium,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-23,17.9,7.1,4.3,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-24,15.4,7.9,0.0,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-25,19.5,7.8,0.9,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-26,19.2,8.8,3.7,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-27,14.5,7.0,2.3,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-28,18.5,8.3,2.7,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-29,17.0,7.6,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-30,19.3,8.0,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-03-31,15.5,7.6,1.7,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",March,79.52,True,False,other,['Not Planting Season']
2009-04-01,16.8,6.9,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-02,17.2,6.8,1.7,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-03,20.5,6.7,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-04,20.5,6.6,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",April,77.03,False,False,other,['Not Planting Season']
2009-04-05,19.8,6.4,0.0,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-06,18.7,6.9,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-07,18.8,7.2,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-08,17.2,6.8,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",April,77.03,False,False,other,['Not Planting Season']
2009-04-09,16.2,7.0,16.9,INIA-321 Kawsay,Medium,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-10,16.0,7.1,3.5,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-11,17.8,7.3,1.3,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-12,18.5,7.0,7.0,Yungay,Medium,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-13,15.5,6.8,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-14,16.5,7.1,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-15,16.2,6.6,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-16,17.6,6.5,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",April,77.03,False,False,other,['Not Planting Season']
2009-04-17,17.4,4.9,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",April,77.03,False,False,other,['Not Planting Season']
2009-04-18,19.0,5.4,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-19,19.6,7.2,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-20,17.2,5.8,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-21,17.2,6.4,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-22,18.7,7.0,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-23,20.5,5.8,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",April,77.03,False,False,other,['Not Planting Season']
2009-04-24,21.0,6.0,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-25,20.8,6.0,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-26,19.3,7.0,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",April,77.03,False,False,other,['Not Planting Season']
2009-04-27,20.5,6.8,0.0,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-28,20.6,6.1,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-04-29,21.0,6.2,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",April,77.03,False,False,other,['Not Planting Season']
2009-04-30,19.6,6.6,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",April,77.03,False,False,other,['Not Planting Season']
2009-05-01,20.2,4.2,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-02,19.3,5.6,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-03,19.7,5.8,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-04,21.0,5.5,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-05,19.7,2.2,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-06,19.8,5.6,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-07,20.0,5.4,1.2,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-08,19.0,4.5,0.0,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-09,20.4,5.4,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-10,19.8,5.6,2.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-11,17.2,4.3,1.6,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-12,19.3,4.5,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-13,19.5,4.3,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-14,20.6,4.3,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-15,20.5,5.6,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-16,20.0,4.8,0.9,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-17,20.5,5.0,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-18,18.6,5.4,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-19,16.7,6.4,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-20,19.2,5.5,0.0,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-21,20.4,4.8,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-22,20.2,5.0,0.0,Poccoya,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-23,20.4,5.3,10.5,CIP Matilde,Medium,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-24,18.0,4.4,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-25,20.2,6.0,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-26,20.3,5.2,1.7,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-27,16.5,5.2,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-28,19.3,2.5,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-29,19.5,5.5,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-30,19.4,4.1,0.2,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-05-31,19.8,3.2,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",May,73.32,False,False,coastal,"['May', 'June', 'July']"
2009-06-01,20.6,4.4,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",June,68.53,False,False,maway,"['June', 'July', 'August', 'September']"
2009-06-02,21.2,4.3,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",June,68.53,False,False,maway,"['June', 'July', 'August', 'September']"
2009-06-03,19.8,6.2,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",June,68.53,False,False,maway,"['June', 'July', 'August', 'September']"
2009-06-04,19.8,5.8,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",June,68.53,False,False,maway,"['June', 'July', 'August', 'September']"
2009-06-05,20.0,4.0,0.0,INIA-302 Amarilis,Low,Moderately Susceptible,27.2,6.0,High,"Commonly grown, higher EIR",June,68.53,False,False,maway,"['June', 'July', 'August', 'September']"
2009-06-06,18.5,2.4,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",June,68.53,False,False,maway,"['June', 'July', 'August', 'September']"
2009-06-07,20.8,3.0,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",June,68.53,False,False,maway,"['June', 'July', 'August', 'September']"
2009-06-08,20.7,3.7,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",June,68.53,False,False,maway,"['June', 'July', 'August', 'September']"
2009-06-09,19.5,2.5,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",June,68.53,False,False,maway,"['June', 'July', 'August', 'September']"
2009-06-10,20.4,4.2,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",June,68.53,False,False,maway,"['June', 'July', 'August', 'September']"
2009-06-11,19.4,3.2,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",June,68.53,False,False,maway,"['June', 'July', 'August', 'September']"
