Prompt,Blight_Risk
"The variety is Yungay, planted during the other season. The weather data shows 0.0 mm of rainfall, a maximum temperature of 18.7°C, and a minimum temperature of 7.0°C. The average humidity is 77.03%. What is the late blight risk?",Low
"The variety is INIA-303 Canchan, planted during the maway season. The weather data shows 0.0 mm of rainfall, a maximum temperature of 23.0°C, and a minimum temperature of 3.8°C. The average humidity is 65.13%. What is the late blight risk?",Low
"The variety is CIP Matilde, planted during the maway season. The weather data shows 1.0 mm of rainfall, a maximum temperature of 20.0°C, and a minimum temperature of 6.0°C. The average humidity is 73.97%. What is the late blight risk?",Low
"The variety is INIA-303 Canchan, planted during the other season. The weather data shows 0.0 mm of rainfall, a maximum temperature of 17.8°C, and a minimum temperature of 8.2°C. The average humidity is 84.46%. What is the late blight risk?",Low
"The variety is CIP Matilde, planted during the other season. The weather data shows 4.3 mm of rainfall, a maximum temperature of 19.5°C, and a minimum temperature of 7.2°C. The average humidity is 79.52%. What is the late blight risk?",Low
"The variety is Yungay, planted during the maway season. The weather data shows 2.8 mm of rainfall, a maximum temperature of 13.5°C, and a minimum temperature of 5.6°C. The average humidity is 73.97%. What is the late blight risk?",Low
"The variety is INIA-303 Canchan, planted during the other season. The weather data shows 0.0 mm of rainfall, a maximum temperature of 20.0°C, and a minimum temperature of 7.7°C. The average humidity is 79.52%. What is the late blight risk?",Low
"The variety is INIA-303 Canchan, planted during the hatun season. The weather data shows 9.6 mm of rainfall, a maximum temperature of 16.8°C, and a minimum temperature of 7.8°C. The average humidity is 81.06%. What is the late blight risk?",Medium
"The variety is CIP Matilde, planted during the hatun season. The weather data shows 4.6 mm of rainfall, a maximum temperature of 23.0°C, and a minimum temperature of 5.2°C. The average humidity is 70.87%. What is the late blight risk?",Low
"The variety is CIP Matilde, planted during the hatun season. The weather data shows 5.5 mm of rainfall, a maximum temperature of 20.6°C, and a minimum temperature of 7.2°C. The average humidity is 77.07%. What is the late blight risk?",Medium
"The variety is INIA-303 Canchan, planted during the hatun season. The weather data shows 0.0 mm of rainfall, a maximum temperature of 18.2°C, and a minimum temperature of 8.3°C. The average humidity is 81.06%. What is the late blight risk?",Low
"The variety is CIP Matilde, planted during the maway season. The weather data shows 0.0 mm of rainfall, a maximum temperature of 21.0°C, and a minimum temperature of 2.4°C. The average humidity is 66.26%. What is the late blight risk?",Low
"The variety is Yungay, planted during the hatun season. The weather data shows 2.6 mm of rainfall, a maximum temperature of 20.5°C, and a minimum temperature of 6.8°C. The average humidity is 70.87%. What is the late blight risk?",Low
"The variety is INIA-302 Amarilis, planted during the other season. The weather data shows 0.0 mm of rainfall, a maximum temperature of 20.0°C, and a minimum temperature of 7.0°C. The average humidity is 77.03%. What is the late blight risk?",Low
